Consumption (kWh), Start, End
0.166000, 2025-03-28T00:00:00+00:00, 2025-03-28T00:30:00+00:00
2.841000, 2025-03-28T00:30:00+00:00, 2025-03-28T01:00:00+00:00
2.861000, 2025-03-28T01:00:00+00:00, 2025-03-28T01:30:00+00:00
2.896000, 2025-03-28T01:30:00+00:00, 2025-03-28T02:00:00+00:00
2.918000, 2025-03-28T02:00:00+00:00, 2025-03-28T02:30:00+00:00
2.505000, 2025-03-28T02:30:00+00:00, 2025-03-28T03:00:00+00:00
1.470000, 2025-03-28T03:00:00+00:00, 2025-03-28T03:30:00+00:00
1.179000, 2025-03-28T03:30:00+00:00, 2025-03-28T04:00:00+00:00
1.040000, 2025-03-28T04:00:00+00:00, 2025-03-28T04:30:00+00:00
0.984000, 2025-03-28T04:30:00+00:00, 2025-03-28T05:00:00+00:00
0.254000, 2025-03-28T05:00:00+00:00, 2025-03-28T05:30:00+00:00
0.015000, 2025-03-28T05:30:00+00:00, 2025-03-28T06:00:00+00:00
0.007000, 2025-03-28T06:00:00+00:00, 2025-03-28T06:30:00+00:00
0.009000, 2025-03-28T06:30:00+00:00, 2025-03-28T07:00:00+00:00
0.054000, 2025-03-28T07:00:00+00:00, 2025-03-28T07:30:00+00:00
0.021000, 2025-03-28T07:30:00+00:00, 2025-03-28T08:00:00+00:00
0.009000, 2025-03-28T08:00:00+00:00, 2025-03-28T08:30:00+00:00
0.009000, 2025-03-28T08:30:00+00:00, 2025-03-28T09:00:00+00:00
0.019000, 2025-03-28T09:00:00+00:00, 2025-03-28T09:30:00+00:00
0.010000, 2025-03-28T09:30:00+00:00, 2025-03-28T10:00:00+00:00
0.008000, 2025-03-28T10:00:00+00:00, 2025-03-28T10:30:00+00:00
0.009000, 2025-03-28T10:30:00+00:00, 2025-03-28T11:00:00+00:00
0.009000, 2025-03-28T11:00:00+00:00, 2025-03-28T11:30:00+00:00
0.018000, 2025-03-28T11:30:00+00:00, 2025-03-28T12:00:00+00:00
0.011000, 2025-03-28T12:00:00+00:00, 2025-03-28T12:30:00+00:00
0.010000, 2025-03-28T12:30:00+00:00, 2025-03-28T13:00:00+00:00
0.008000, 2025-03-28T13:00:00+00:00, 2025-03-28T13:30:00+00:00
0.007000, 2025-03-28T13:30:00+00:00, 2025-03-28T14:00:00+00:00
0.008000, 2025-03-28T14:00:00+00:00, 2025-03-28T14:30:00+00:00
0.008000, 2025-03-28T14:30:00+00:00, 2025-03-28T15:00:00+00:00
0.008000, 2025-03-28T15:00:00+00:00, 2025-03-28T15:30:00+00:00
0.009000, 2025-03-28T15:30:00+00:00, 2025-03-28T16:00:00+00:00
0.035000, 2025-03-28T16:00:00+00:00, 2025-03-28T16:30:00+00:00
0.009000, 2025-03-28T16:30:00+00:00, 2025-03-28T17:00:00+00:00
0.007000, 2025-03-28T17:00:00+00:00, 2025-03-28T17:30:00+00:00
0.007000, 2025-03-28T17:30:00+00:00, 2025-03-28T18:00:00+00:00
0.007000, 2025-03-28T18:00:00+00:00, 2025-03-28T18:30:00+00:00
0.007000, 2025-03-28T18:30:00+00:00, 2025-03-28T19:00:00+00:00
0.010000, 2025-03-28T19:00:00+00:00, 2025-03-28T19:30:00+00:00
0.010000, 2025-03-28T19:30:00+00:00, 2025-03-28T20:00:00+00:00
0.010000, 2025-03-28T20:00:00+00:00, 2025-03-28T20:30:00+00:00
0.009000, 2025-03-28T20:30:00+00:00, 2025-03-28T21:00:00+00:00
0.253000, 2025-03-28T21:00:00+00:00, 2025-03-28T21:30:00+00:00
0.243000, 2025-03-28T21:30:00+00:00, 2025-03-28T22:00:00+00:00
0.233000, 2025-03-28T22:00:00+00:00, 2025-03-28T22:30:00+00:00
0.147000, 2025-03-28T22:30:00+00:00, 2025-03-28T23:00:00+00:00
0.143000, 2025-03-28T23:00:00+00:00, 2025-03-28T23:30:00+00:00
0.186000, 2025-03-28T23:30:00+00:00, 2025-03-29T00:00:00+00:00
0.173000, 2025-03-29T00:00:00+00:00, 2025-03-29T00:30:00+00:00
0.988000, 2025-03-29T00:30:00+00:00, 2025-03-29T01:00:00+00:00
0.990000, 2025-03-29T01:00:00+00:00, 2025-03-29T01:30:00+00:00
1.029000, 2025-03-29T01:30:00+00:00, 2025-03-29T02:00:00+00:00
1.036000, 2025-03-29T02:00:00+00:00, 2025-03-29T02:30:00+00:00
0.993000, 2025-03-29T02:30:00+00:00, 2025-03-29T03:00:00+00:00
0.994000, 2025-03-29T03:00:00+00:00, 2025-03-29T03:30:00+00:00
1.012000, 2025-03-29T03:30:00+00:00, 2025-03-29T04:00:00+00:00
1.045000, 2025-03-29T04:00:00+00:00, 2025-03-29T04:30:00+00:00
0.992000, 2025-03-29T04:30:00+00:00, 2025-03-29T05:00:00+00:00
0.240000, 2025-03-29T05:00:00+00:00, 2025-03-29T05:30:00+00:00
0.007000, 2025-03-29T05:30:00+00:00, 2025-03-29T06:00:00+00:00
0.053000, 2025-03-29T06:00:00+00:00, 2025-03-29T06:30:00+00:00
0.044000, 2025-03-29T06:30:00+00:00, 2025-03-29T07:00:00+00:00
0.081000, 2025-03-29T07:00:00+00:00, 2025-03-29T07:30:00+00:00
0.021000, 2025-03-29T07:30:00+00:00, 2025-03-29T08:00:00+00:00
0.015000, 2025-03-29T08:00:00+00:00, 2025-03-29T08:30:00+00:00
0.009000, 2025-03-29T08:30:00+00:00, 2025-03-29T09:00:00+00:00
0.008000, 2025-03-29T09:00:00+00:00, 2025-03-29T09:30:00+00:00
